city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,id
Kenton,Kenton,OH,Ohio,39065,Hardin,40.6448,-83.6095,1840008320
Carl Junction,Carl Junction,MO,Missouri,29097,Jasper,37.1668,-94.5468,1840007627
Alondra Park,Alondra Park,CA,California,6037,Los Angeles,33.8885,-118.335,1840028356
Southeast Arcadia,Southeast Arcadia,FL,Florida,12027,DeSoto,27.1862,-81.8521,1840035778
Paw Paw,Paw Paw,MI,Michigan,26159,Van Buren,42.2147,-85.8918,1840011208
Lake City,Lake City,SC,South Carolina,45041,Florence,33.8676,-79.7533,1840014715
Colorado City,Colorado City,AZ,Arizona,4015,Mohave,36.9774,-112.983,1840023170
Oak Grove,Oak Grove,MO,Missouri,29095,Jackson,39.0077,-94.1283,1840008533
Moundsville,Moundsville,WV,West Virginia,54051,Marshall,39.9221,-80.7422,1840005557
Cumberland Hill,Cumberland Hill,RI,Rhode Island,44007,Providence,41.9736,-71.4605,1840003291
Four Corners,Four Corners,MD,Maryland,24031,Montgomery,39.0235,-77.0102,1840024489
Montecito,Montecito,CA,California,6083,Santa Barbara,34.4382,-119.6286,1840019182
Denison,Denison,IA,Iowa,19047,Crawford,42.016,-95.3528,1840007008
Locust Grove,Locust Grove,GA,Georgia,13151,Henry,33.3442,-84.1071,1840015705
Half Moon,Half Moon,NC,North Carolina,37133,Onslow,34.8298,-77.4591,1840013556
Lugoff,Lugoff,SC,South Carolina,45055,Kershaw,34.2216,-80.6849,1840013597
Fort Mitchell,Fort Mitchell,KY,Kentucky,21117,Kenton,39.0459,-84.5563,1840013170
Manhattan,Manhattan,IL,Illinois,17197,Will,41.4274,-87.9805,1840011490
North Weeki Wachee,North Weeki Wachee,FL,Florida,12053,Hernando,28.5591,-82.5537,1840073872
Mammoth Lakes,Mammoth Lakes,CA,California,6051,Mono,37.6273,-118.99,1840022493
Johnstown,Johnstown,NY,New York,36035,Fulton,43.0073,-74.3755,1840000376
Spotswood,Spotswood,NJ,New Jersey,34023,Middlesex,40.3949,-74.392,1840001336
Waynesburg,Waynesburg,PA,Pennsylvania,42059,Greene,39.8983,-80.1855,1840000722
Thomson,Thomson,GA,Georgia,13189,McDuffie,33.4666,-82.4992,1840015703
Irondale,Irondale,GA,Georgia,13063,Clayton,33.4773,-84.36,1840029456
Westlake Village,Westlake Village,CA,California,6037,Los Angeles,34.1369,-118.822,1840037458
Castle Shannon,Castle Shannon,PA,Pennsylvania,42003,Allegheny,40.3664,-80.0194,1840001215
Chester,Chester,IL,Illinois,17157,Randolph,37.9199,-89.8259,1840007529
Cheviot,Cheviot,OH,Ohio,39061,Hamilton,39.1577,-84.6139,1840003813
Napoleon,Napoleon,OH,Ohio,39069,Henry,41.3978,-84.1244,1840008242
Upper Saddle River,Upper Saddle River,NJ,New Jersey,34003,Bergen,41.0633,-74.0986,1840000920
Mahopac,Mahopac,NY,New York,36079,Putnam,41.3684,-73.7401,1840004891
Temperance,Temperance,MI,Michigan,26115,Monroe,41.7653,-83.5755,1840006579
Oberlin,Oberlin,OH,Ohio,39093,Lorain,41.2857,-82.2197,1840008209
Twin Lakes,Twin Lakes,CO,Colorado,8001,Adams,39.8229,-105.0036,1840136771
Lake Norman of Catawba,Lake Norman of Catawba,NC,North Carolina,37035,Catawba,35.5995,-80.984,1840073862
Jefferson City,Jefferson City,TN,Tennessee,47089,Jefferson,36.1197,-83.4838,1840014485
Country Club Estates,Country Club Estates,GA,Georgia,13127,Glynn,31.2113,-81.4622,1840029452
Kenilworth,Kenilworth,NJ,New Jersey,34039,Union,40.6781,-74.2889,1840003616
Ellsworth,Ellsworth,ME,Maine,23009,Hancock,44.5847,-68.4875,1840000281
Wedgefield,Wedgefield,FL,Florida,12095,Orange,28.4847,-81.0808,1840014091
Monona,Monona,WI,Wisconsin,55025,Dane,43.054,-89.3334,1840002920
Center Line,Center Line,MI,Michigan,26099,Macomb,42.4805,-83.0274,1840002419
Venice Gardens,Venice Gardens,FL,Florida,12115,Sarasota,27.0694,-82.4054,1840014182
Broadview Park,Broadview Park,FL,Florida,12011,Broward,26.0979,-80.2088,1840028918
Pismo Beach,Pismo Beach,CA,California,6079,San Luis Obispo,35.1484,-120.6492,1840020416
Beebe,Beebe,AR,Arkansas,5145,White,35.0712,-91.8996,1840013439
Milliken,Milliken,CO,Colorado,8123,Weld,40.3115,-104.8561,1840022397
Black Mountain,Black Mountain,NC,North Carolina,37021,Buncombe,35.6142,-82.3275,1840015392
Crestwood Village,Crestwood Village,NJ,New Jersey,34029,Ocean,39.9568,-74.3524,1840005527
Meadow Lakes,Meadow Lakes,AK,Alaska,2170,Matanuska-Susitna,61.638,-149.608,1840023681
Center Moriches,Center Moriches,NY,New York,36103,Suffolk,40.8015,-72.796,1840005025
Port Jefferson,Port Jefferson,NY,New York,36103,Suffolk,40.9465,-73.0579,1840005131
Middleport,Middleport,OH,Ohio,39105,Meigs,38.9948,-82.0643,1840012749
Eaton,Eaton,OH,Ohio,39135,Preble,39.7506,-84.6343,1840001519
Tuskegee,Tuskegee,AL,Alabama,1087,Macon,32.4395,-85.7139,1840004337
South San Gabriel,South San Gabriel,CA,California,6037,Los Angeles,34.0489,-118.0961,1840019207
Ephrata,Ephrata,WA,Washington,53025,Grant,47.3122,-119.534,1840019813
Rockwood,Rockwood,VA,Virginia,51041,Chesterfield,37.463,-77.5744,1840041858
Leesville,Leesville,LA,Louisiana,22115,Vernon,31.1397,-93.2741,1840014974
Oradell,Oradell,NJ,New Jersey,34003,Bergen,40.9562,-74.0314,1840000914
Minnetrista,Minnetrista,MN,Minnesota,27053,Hennepin,44.9356,-93.7103,1840007833
Gering,Gering,NE,Nebraska,31157,Scotts Bluff,41.8275,-103.6649,1840008139
Harrison,Harrison,TN,Tennessee,47065,Hamilton,35.1276,-85.1464,1840013449
Hazard,Hazard,KY,Kentucky,21193,Perry,37.2583,-83.1977,1840014376
Summit Park,Summit Park,UT,Utah,49043,Summit,40.7432,-111.5814,1840018725
Cherry Valley,Cherry Valley,CA,California,6065,Riverside,33.9797,-116.9694,1840017983
Omak,Omak,WA,Washington,53047,Okanogan,48.4228,-119.5159,1840019761
Vandenberg Village,Vandenberg Village,CA,California,6083,Santa Barbara,34.7111,-120.4623,1840019185
West Dundee,West Dundee,IL,Illinois,17089,Kane,42.0985,-88.3073,1840011357
Blandon,Blandon,PA,Pennsylvania,42011,Berks,40.4446,-75.8799,1840026444
Duvall,Duvall,WA,Washington,53033,King,47.7354,-121.9726,1840018427
Vinton,Vinton,VA,Virginia,51161,Roanoke,37.2746,-79.8887,1840003856
Joshua,Joshua,TX,Texas,48251,Johnson,32.458,-97.3849,1840019468
Oak Hill,Oak Hill,WV,West Virginia,54019,Fayette,37.9844,-81.1277,1840006297
Monument,Monument,CO,Colorado,8041,El Paso,39.0735,-104.8467,1840022474
Croton-on-Hudson,Croton-on-Hudson,NY,New York,36119,Westchester,41.2005,-73.9002,1840004951
Bellevue,Bellevue,OH,Ohio,39077,Huron,41.2743,-82.8394,1840000654
Briarcliff Manor,Briarcliff Manor,NY,New York,36119,Westchester,41.14,-73.844,1840004948
Mount Rainier,Mount Rainier,MD,Maryland,24033,Prince George's,38.9423,-76.9645,1840005977
Alliance,Alliance,NE,Nebraska,31013,Box Butte,42.1025,-102.8766,1840006975
